co_id,coi_id
1,1
1,2
2,3
2,4
3,5
3,6
3,7
4,8
5,9
5,10
6,11
6,12
7,13
8,14
8,15
9,16
10,17
10,18
11,19
11,20
11,21
12,22
13,23
14,24
14,25
15,26
15,27
15,28
16,29
17,30
18,31
19,32
19,33
20,34
20,35
21,36
22,37
22,38
22,39
23,40
23,41
24,42
25,43
26,44
26,45
26,46
27,47
28,48
29,49
29,50
29,51
30,52
30,53
31,54
31,55
32,56
33,57
33,58
34,59
35,60
36,61
36,62
36,63
37,64
37,65
38,66
38,67
38,68
39,69
39,70
40,71
40,72
41,73
41,74
42,75
43,76
44,77
44,78
45,79
46,80
47,81
47,82
48,83
49,84
49,85
50,86
51,87
52,88
52,89
52,90
53,91
54,92
54,93
55,94
56,95
56,96
57,97
57,98
58,99
58,100
59,101
59,102
59,103
60,104
60,105
61,106
62,107
62,108
63,109
63,110
63,111
64,112
64,113
64,114
65,115
65,116
65,117
66,118
66,119
67,120
68,121
69,122
69,123
70,124
70,125
70,126
71,127
71,128
72,129
72,130
73,131
74,132
74,133
74,134
75,135
75,136
76,137
77,138
78,139
78,140
78,141
79,142
79,143
80,144
81,145
81,146
81,147
82,148
82,149
83,150
83,151
84,152
85,153
85,154
86,155
86,156
87,157
88,158
89,159
89,160
90,161
90,162
90,163
91,164
92,165
92,166
92,167
93,168
93,169
93,170
94,171
94,172
95,173
95,174
96,175
96,176
97,177
97,178
98,179
98,180
99,181
100,182
100,183
101,184
102,185
103,186
103,187
104,188
104,189
104,190
105,191
106,192
106,193
107,194
107,195
108,196
108,197
109,198
110,199
110,200
111,201
111,202
112,203
112,204
112,205
113,206
114,207
114,208
115,209
115,210
115,211
116,212
116,213
117,214
117,215
118,216
118,217
119,218
119,219
120,220
120,221
120,222
121,223
121,224
122,225
122,226
122,227
123,228
124,229
125,230
125,231
126,232
126,233
127,234
127,235
128,236
128,237
129,238
130,239
131,240
132,241
133,242
134,243
134,244
135,245
136,246
136,247
137,248
137,249
138,250
139,251
140,252
140,253
141,254
142,255
142,256
142,257
143,258
143,259
143,260
144,261
145,262
145,263
146,264
147,265
147,266
148,267
149,268
149,269
150,270
150,271
151,272
151,273
152,274
152,275
152,276
153,277
154,278
154,279
154,280
155,281
156,282
156,283
157,284
158,285
158,286
158,287
159,288
160,289
161,290
162,291
163,292
163,293
164,294
165,295
165,296
165,297
166,298
166,299
167,300
168,301
169,302
169,303
169,304
170,305
170,306
170,307
171,308
171,309
172,310
173,311
173,312
174,313
174,314
175,315
175,316
176,317
177,318
177,319
178,320
179,321
180,322
181,323
181,324
181,325
182,326
183,327
184,328
184,329
185,330
185,331
186,332
186,333
187,334
188,335
188,336
188,337
189,338
189,339
190,340
190,341
190,342
191,343
192,344
193,345
194,346
195,347
195,348
195,349
196,350
197,351
198,352
198,353
199,354
200,355
200,356
201,357
202,358
203,359
203,360
204,361
204,362
205,363
206,364
207,365
208,366
208,367
208,368
209,369
210,370
211,371
212,372
212,373
213,374
213,375
213,376
214,377
214,378
215,379
215,380
216,381
217,382
218,383
218,384
219,385
219,386
220,387
220,388
220,389
221,390
222,391
222,392
222,393
223,394
223,395
223,396
224,397
225,398
226,399
226,400
226,401
227,402
228,403
229,404
229,405
230,406
230,407
231,408
231,409
231,410
232,411
232,412
233,413
233,414
234,415
234,416
234,417
235,418
235,419
236,420
236,421
237,422
238,423
239,424
239,425
240,426
241,427
242,428
243,429
243,430
244,431
245,432
245,433
246,434
247,435
248,436
248,437
249,438
249,439
249,440
250,441
250,442
251,443
251,444
252,445
253,446
253,447
254,448
255,449
256,450
256,451
257,452
257,453
257,454
258,455
258,456
258,457
259,458
260,459
261,460
262,461
262,462
263,463
263,464
263,465
264,466
265,467
265,468
266,469
266,470
266,471
267,472
267,473
268,474
268,475
269,476
270,477
271,478
271,479
271,480
272,481
272,482
273,483
273,484
274,485
274,486
275,487
275,488
275,489
276,490
276,491
276,492
277,493
277,494
277,495
278,496
278,497
278,498
279,499
279,500
280,501
281,502
282,503
282,504
283,505
283,506
283,507
284,508
284,509
285,510
286,511
286,512
287,513
287,514
287,515
288,516
289,517
289,518
289,519
290,520
290,521
291,522
292,523
292,524
293,525
293,526
293,527
294,528
295,529
296,530
297,531
297,532
298,533
299,534
299,535
300,536
301,537
302,538
302,539
303,540
303,541
303,542
304,543
304,544
304,545
305,546
305,547
306,548
306,549
306,550
307,551
308,552
309,553
310,554
310,555
310,556
311,557
311,558
312,559
313,560
314,561
314,562
315,563
315,564
315,565
316,566
316,567
317,568
317,569
318,570
319,571
320,572
321,573
321,574
322,575
323,576
324,577
325,578
326,579
326,580
327,581
327,582
327,583
328,584
329,585
329,586
330,587
330,588
330,589
331,590
331,591
332,592
332,593
332,594
333,595
334,596
334,597
334,598
335,599
335,600
335,601
336,602
336,603
336,604
337,605
337,606
338,607
338,608
339,609
339,610
340,611
341,612
342,613
342,614
342,615
343,616
344,617
345,618
345,619
346,620
347,621
347,622
348,623
348,624
348,625
349,626
349,627
350,628
350,629
351,630
351,631
352,632
352,633
353,634
353,635
354,636
355,637
355,638
356,639
357,640
357,641
357,642
358,643
359,644
360,645
361,646
361,647
362,648
363,649
363,650
364,651
364,652
364,653
365,654
365,655
366,656
366,657
366,658
367,659
368,660
368,661
369,662
370,663
370,664
370,665
371,666
372,667
372,668
373,669
373,670
374,671
374,672
374,673
375,674
375,675
376,676
377,677
378,678
379,679
379,680
379,681
380,682
380,683
381,684
381,685
381,686
382,687
382,688
382,689
383,690
384,691
385,692
385,693
386,694
386,695
387,696
387,697
387,698
388,699
388,700
388,701
389,702
390,703
390,704
391,705
391,706
391,707
392,708
392,709
393,710
393,711
394,712
395,713
395,714
396,715
396,716
397,717
398,718
398,719
399,720
400,721
400,722
400,723
401,724
401,725
402,726
402,727
403,728
404,729
405,730
405,731
406,732
406,733
406,734
407,735
408,736
408,737
409,738
409,739
410,740
410,741
411,742
411,743
411,744
412,745
412,746
413,747
414,748
415,749
416,750
416,751
417,752
417,753
418,754
418,755
419,756
420,757
421,758
421,759
422,760
422,761
423,762
423,763
424,764
424,765
425,766
425,767
426,768
426,769
426,770
427,771
427,772
428,773
429,774
429,775
430,776
430,777
431,778
431,779
431,780
432,781
432,782
433,783
433,784
434,785
434,786
435,787
435,788
436,789
437,790
437,791
438,792
438,793
439,794
440,795
440,796
441,797
441,798
442,799
442,800
443,801
444,802
445,803
445,804
446,805
446,806
447,807
448,808
449,809
449,810
450,811
450,812
450,813
451,814
451,815
451,816
452,817
452,818
452,819
453,820
453,821
453,822
454,823
455,824
455,825
455,826
456,827
457,828
458,829
458,830
459,831
459,832
460,833
460,834
461,835
461,836
462,837
462,838
463,839
463,840
463,841
464,842
464,843
465,844
465,845
466,846
467,847
468,848
469,849
470,850
470,851
470,852
471,853
472,854
473,855
473,856
473,857
474,858
475,859
475,860
476,861
476,862
477,863
477,864
478,865
478,866
479,867
480,868
481,869
482,870
482,871
483,872
483,873
484,874
485,875
486,876
487,877
488,878
488,879
489,880
490,881
490,882
491,883
492,884
493,885
494,886
495,887
496,888
496,889
496,890
497,891
497,892
498,893
498,894
499,895
499,896
499,897
500,898
501,899
501,900
502,901
502,902
502,903
503,904
503,905
504,906
505,907
506,908
507,909
508,910
509,911
509,912
509,913
510,914
511,915
512,916
512,917
513,918
514,919
515,920
515,921
515,922
516,923
517,924
517,925
517,926
518,927
518,928
518,929
519,930
520,931
521,932
521,933
521,934
522,935
522,936
523,937
524,938
525,939
525,940
526,941
526,942
527,943
528,944
528,945
529,946
529,947
529,948
530,949
530,950
531,951
531,952
532,953
532,954
533,955
533,956
534,957
534,958
535,959
536,960
537,961
538,962
539,963
539,964
539,965
540,966
541,967
541,968
541,969
542,970
542,971
542,972
543,973
543,974
544,975
544,976
544,977
545,978
545,979
546,980
546,981
547,982
548,983
548,984
549,985
549,986
550,987
550,988
551,989
552,990
553,991
554,992
554,993
554,994
555,995
555,996
555,997
556,998
556,999
556,1000
557,1001
557,1002
557,1003
558,1004
559,1005
559,1006
560,1007
560,1008
561,1009
562,1010
562,1011
563,1012
564,1013
565,1014
566,1015
567,1016
568,1017
569,1018
569,1019
569,1020
570,1021
570,1022
571,1023
571,1024
572,1025
573,1026
574,1027
574,1028
574,1029
575,1030
575,1031
575,1032
576,1033
577,1034
577,1035
578,1036
579,1037
580,1038
581,1039
582,1040
582,1041
582,1042
583,1043
583,1044
583,1045
584,1046
584,1047
584,1048
585,1049
585,1050
585,1051
586,1052
586,1053
587,1054
588,1055
589,1056
589,1057
590,1058
591,1059
592,1060
592,1061
592,1062
593,1063
593,1064
594,1065
594,1066
594,1067
595,1068
595,1069
596,1070
597,1071
597,1072
598,1073
599,1074
600,1075
600,1076
600,1077
601,1078
602,1079
602,1080
603,1081
603,1082
604,1083
604,1084
605,1085
605,1086
606,1087
607,1088
607,1089
608,1090
609,1091
609,1092
609,1093
610,1094
610,1095
611,1096
611,1097
612,1098
612,1099
613,1100
613,1101
614,1102
615,1103
615,1104
615,1105
616,1106
617,1107
618,1108
618,1109
619,1110
620,1111
621,1112
622,1113
623,1114
624,1115
624,1116
624,1117
625,1118
626,1119
626,1120
627,1121
628,1122
629,1123
629,1124
630,1125
631,1126
631,1127
632,1128
632,1129
633,1130
634,1131
635,1132
635,1133
636,1134
636,1135
637,1136
637,1137
638,1138
638,1139
639,1140
640,1141
640,1142
641,1143
641,1144
642,1145
642,1146
642,1147
643,1148
644,1149
644,1150
645,1151
645,1152
645,1153
646,1154
646,1155
647,1156
647,1157
647,1158
648,1159
649,1160
650,1161
651,1162
651,1163
651,1164
652,1165
653,1166
654,1167
655,1168
656,1169
656,1170
657,1171
657,1172
658,1173
658,1174
659,1175
659,1176
659,1177
660,1178
660,1179
661,1180
661,1181
661,1182
662,1183
662,1184
663,1185
663,1186
664,1187
665,1188
665,1189
666,1190
666,1191
667,1192
668,1193
668,1194
669,1195
670,1196
671,1197
671,1198
672,1199
672,1200
673,1201
673,1202
674,1203
674,1204
675,1205
675,1206
676,1207
676,1208
676,1209
677,1210
677,1211
678,1212
678,1213
679,1214
679,1215
680,1216
681,1217
682,1218
682,1219
683,1220
683,1221
684,1222
684,1223
685,1224
686,1225
686,1226
687,1227
688,1228
689,1229
690,1230
691,1231
692,1232
693,1233
693,1234
694,1235
695,1236
696,1237
696,1238
696,1239
697,1240
698,1241
698,1242
699,1243
699,1244
699,1245
700,1246
700,1247
700,1248
701,1249
701,1250
702,1251
702,1252
703,1253
703,1254
704,1255
705,1256
706,1257
706,1258
707,1259
707,1260
708,1261
708,1262
709,1263
709,1264
709,1265
710,1266
710,1267
711,1268
711,1269
712,1270
713,1271
713,1272
714,1273
715,1274
716,1275
717,1276
717,1277
717,1278
718,1279
718,1280
718,1281
719,1282
719,1283
720,1284
720,1285
721,1286
722,1287
722,1288
722,1289
723,1290
723,1291
724,1292
725,1293
726,1294
727,1295
728,1296
729,1297
729,1298
729,1299
730,1300
731,1301
732,1302
733,1303
733,1304
733,1305
734,1306
734,1307
735,1308
736,1309
737,1310
737,1311
737,1312
738,1313
738,1314
738,1315
739,1316
739,1317
740,1318
740,1319
741,1320
742,1321
742,1322
743,1323
743,1324
744,1325
744,1326
745,1327
745,1328
746,1329
746,1330
747,1331
747,1332
748,1333
748,1334
749,1335
749,1336
749,1337
750,1338
750,1339
751,1340
751,1341
752,1342
752,1343
752,1344
753,1345
754,1346
754,1347
755,1348
755,1349
755,1350
756,1351
756,1352
756,1353
757,1354
758,1355
758,1356
758,1357
759,1358
759,1359
759,1360
760,1361
761,1362
761,1363
761,1364
762,1365
763,1366
764,1367
764,1368
765,1369
765,1370
766,1371
767,1372
768,1373
768,1374
769,1375
769,1376
770,1377
771,1378
772,1379
773,1380
773,1381
773,1382
774,1383
774,1384
774,1385
775,1386
775,1387
776,1388
776,1389
777,1390
777,1391
778,1392
779,1393
780,1394
781,1395
781,1396
782,1397
782,1398
782,1399
783,1400
784,1401
784,1402
785,1403
785,1404
786,1405
786,1406
787,1407
787,1408
787,1409
788,1410
788,1411
789,1412
790,1413
791,1414
791,1415
792,1416
792,1417
792,1418
793,1419
793,1420
794,1421
795,1422
796,1423
797,1424
797,1425
798,1426
798,1427
798,1428
799,1429
799,1430
800,1431
801,1432
801,1433
802,1434
802,1435
803,1436
803,1437
804,1438
804,1439
805,1440
805,1441
805,1442
806,1443
807,1444
807,1445
808,1446
808,1447
809,1448
809,1449
810,1450
810,1451
811,1452
811,1453
812,1454
813,1455
814,1456
814,1457
815,1458
816,1459
816,1460
817,1461
818,1462
818,1463
818,1464
819,1465
819,1466
819,1467
820,1468
821,1469
821,1470
821,1471
822,1472
823,1473
823,1474
824,1475
824,1476
825,1477
826,1478
827,1479
827,1480
827,1481
828,1482
828,1483
829,1484
830,1485
830,1486
830,1487
831,1488
832,1489
833,1490
833,1491
834,1492
834,1493
835,1494
836,1495
836,1496
837,1497
838,1498
839,1499
840,1500
841,1501
841,1502
842,1503
842,1504
842,1505
843,1506
843,1507
844,1508
