id,price,time_of_order,employee_id,date,time
1,10.29,2022-09-12 10:01:06,6,2022-09-12,10:01:06
2,10.29,2022-09-12 10:02:05,6,2022-09-12,10:02:05
3,11.48,2022-09-12 10:03:00,6,2022-09-12,10:03:00
4,7.29,2022-09-12 10:04:02,6,2022-09-12,10:04:02
5,9.379999999999999,2022-09-12 10:04:54,6,2022-09-12,10:04:54
6,10.379999999999999,2022-09-12 10:05:53,6,2022-09-12,10:05:53
7,7.29,2022-09-12 10:06:57,6,2022-09-12,10:06:57
8,10.579999999999998,2022-09-12 10:08:03,6,2022-09-12,10:08:03
9,7.29,2022-09-12 10:09:01,6,2022-09-12,10:09:01
10,10.579999999999998,2022-09-12 10:09:54,6,2022-09-12,10:09:54
11,11.57,2022-09-12 10:10:50,6,2022-09-12,10:10:50
12,7.29,2022-09-12 10:11:58,6,2022-09-12,10:11:58
13,7.29,2022-09-12 10:12:53,6,2022-09-12,10:12:53
14,10.579999999999998,2022-09-12 10:13:58,6,2022-09-12,10:13:58
15,12.379999999999999,2022-09-12 10:14:57,6,2022-09-12,10:14:57
16,7.29,2022-09-12 10:15:55,6,2022-09-12,10:15:55
17,8.19,2022-09-12 10:16:55,6,2022-09-12,10:16:55
18,7.29,2022-09-12 10:18:00,6,2022-09-12,10:18:00
19,9.29,2022-09-12 10:18:45,6,2022-09-12,10:18:45
20,10.19,2022-09-12 10:19:37,6,2022-09-12,10:19:37
21,7.29,2022-09-12 10:20:28,6,2022-09-12,10:20:28
22,12.569999999999999,2022-09-12 10:21:45,6,2022-09-12,10:21:45
23,9.379999999999999,2022-09-12 10:22:40,6,2022-09-12,10:22:40
24,7.29,2022-09-12 10:23:21,6,2022-09-12,10:23:21
25,8.19,2022-09-12 10:24:13,6,2022-09-12,10:24:13
26,12.77,2022-09-12 10:25:13,6,2022-09-12,10:25:13
27,8.19,2022-09-12 10:26:14,6,2022-09-12,10:26:14
28,7.29,2022-09-12 10:27:02,6,2022-09-12,10:27:02
29,12.379999999999999,2022-09-12 10:28:10,6,2022-09-12,10:28:10
30,9.58,2022-09-12 10:29:02,6,2022-09-12,10:29:02
31,10.379999999999999,2022-09-12 10:30:04,6,2022-09-12,10:30:04
32,7.29,2022-09-12 10:31:01,6,2022-09-12,10:31:01
33,9.29,2022-09-12 10:32:04,6,2022-09-12,10:32:04
34,7.29,2022-09-12 10:32:59,6,2022-09-12,10:32:59
35,8.29,2022-09-12 10:33:58,6,2022-09-12,10:33:58
36,11.48,2022-09-12 10:35:05,6,2022-09-12,10:35:05
37,9.58,2022-09-12 10:35:58,6,2022-09-12,10:35:58
38,11.77,2022-09-12 10:37:04,6,2022-09-12,10:37:04
39,9.379999999999999,2022-09-12 10:38:11,6,2022-09-12,10:38:11
40,9.379999999999999,2022-09-12 10:39:10,6,2022-09-12,10:39:10
